Model,Patch_Size,Alpha,Spatial_Silhouette,Num_Clusters,Key_Obs
vit-base,336,0.2,0.20442947266978254,21,multi_vit-base_336_a2
phikon,336,0.2,0.18251641280670527,28,multi_phikon_336_a2
vit-base,336,0.5,0.17716488639004815,20,multi_vit-base_336_a5
phikon,224,0.2,0.17688200356679507,26,multi_phikon_224_a2
phikon,336,0.5,0.16297999329117155,24,multi_phikon_336_a5
phikon,112,0.2,0.14706649248276854,25,multi_phikon_112_a2
vit-base,224,0.2,0.1359607892141884,23,multi_vit-base_224_a2
phikon,224,0.5,0.09293931016080552,26,multi_phikon_224_a5
vit-base,224,0.5,0.08316025784012575,22,multi_vit-base_224_a5
phikon,112,0.5,0.07191548771740042,22,multi_phikon_112_a5
vit-base,336,0.8,0.022138112631309676,18,multi_vit-base_336_a8
vit-base,112,0.5,-0.0027858185773255743,20,multi_vit-base_112_a5
phikon,112,0.8,-0.016547450819577862,17,multi_phikon_112_a8
phikon,224,0.8,-0.018519741909530815,18,multi_phikon_224_a8
vit-base,224,0.8,-0.02475550762495267,17,multi_vit-base_224_a8
vit-base,112,0.2,-0.026323429299551157,21,multi_vit-base_112_a2
phikon,336,0.8,-0.02768777053086216,19,multi_phikon_336_a8
RNA-Only,N/A,1.0,-0.05356767229597611,16,rna_leiden
vit-base,112,0.8,-0.0727643491081629,20,multi_vit-base_112_a8
