Model,Patch_Size,Alpha,Spatial_Silhouette,Num_Clusters,Key_Obs
vit-base,336,0.2,0.20356602227147094,21,multi_vit-base_336_a2
phikon,336,0.5,0.17667434772673143,23,multi_phikon_336_a5
phikon,336,0.2,0.174206301676988,27,multi_phikon_336_a2
vit-base,336,0.5,0.16506939625309636,21,multi_vit-base_336_a5
phikon,224,0.2,0.1613603363096894,27,multi_phikon_224_a2
phikon,112,0.2,0.14145344789736874,23,multi_phikon_112_a2
vit-base,224,0.2,0.1368008130436587,22,multi_vit-base_224_a2
phikon,224,0.5,0.1079360612839363,25,multi_phikon_224_a5
phikon,112,0.5,0.07888211698298647,22,multi_phikon_112_a5
vit-base,224,0.5,0.07336188847359791,21,multi_vit-base_224_a5
vit-base,336,0.8,-0.004917338107925495,18,multi_vit-base_336_a8
vit-base,224,0.8,-0.018082120259894776,17,multi_vit-base_224_a8
phikon,336,0.8,-0.02535613055643901,19,multi_phikon_336_a8
phikon,224,0.8,-0.029978501045304144,19,multi_phikon_224_a8
vit-base,112,0.5,-0.03601011257701755,22,multi_vit-base_112_a5
RNA-Only,N/A,1.0,-0.05356767229597611,16,rna_leiden
vit-base,112,0.2,-0.07044241156023204,23,multi_vit-base_112_a2
vit-base,112,0.8,-0.07908396891418358,20,multi_vit-base_112_a8
phikon,112,0.8,-0.08555714144878418,21,multi_phikon_112_a8
