Resolution_Platform,Dropout_Rate,Dropout_Numeric,Morans_I_RNA_Only,Morans_I_Static_V1,Morans_I_Adaptive_V2,Mean_Adaptive_Alpha
Visium HD (16um),0%,0.0,-0.0019134177812991406,0.23561154917653893,0.2433542693524045,0.538471351446567
Visium HD (16um),20%,20.0,-0.007391661257674554,0.23633861036010215,0.24546813892181582,0.5414910519909122
Visium HD (16um),40%,40.0,-0.007626108438987035,0.23386102372623882,0.23994675066004412,0.5364404558093054
Visium HD (16um),60%,60.0,-0.01339219240656966,0.2306769270679209,0.22735171978987537,0.5377575547139813
Visium HD (16um),80%,80.0,-0.020781718945767896,0.2286031718913156,0.23569004454149595,0.5319030114813094
Visium HD (8um),0%,0.0,-0.011778987523540061,0.2410248005565802,0.22470473325142182,0.5381992292612378
Visium HD (8um),20%,20.0,-0.011759356663077787,0.23442015279930617,0.2150861251265146,0.5464023717265816
Visium HD (8um),40%,40.0,-0.013125279648815295,0.23112759783375947,0.19166107241480604,0.5614328961607429
Visium HD (8um),60%,60.0,-0.006841101806126185,0.24113242909049498,0.22905457745148183,0.5324770858064378
Visium HD (8um),80%,80.0,0.0036555029128992915,0.24151253544085213,0.2233756907515505,0.5308153754515569
Xenium In Situ (Sub-Cellular),0%,0.0,-0.016118550679518655,0.07434166090352332,0.06847601587310288,0.5417278492184101
Xenium In Situ (Sub-Cellular),20%,20.0,-0.010577999719606174,0.07633004069266373,0.07464433087873659,0.5342429806322353
Xenium In Situ (Sub-Cellular),40%,40.0,-0.0099296482053845,0.07495629712648909,0.08024041328312295,0.5202473138888777
Xenium In Situ (Sub-Cellular),60%,60.0,-0.0140003297058149,0.06865547168509575,0.05658660148254351,0.550641682059652
Xenium In Situ (Sub-Cellular),80%,80.0,-0.012287948341363148,0.07665777968973686,0.07382123734543851,0.51939821262973
